"Timestamp","If you would like to continue , please confirm the agreement and check the box below. [I hereby agree to provide honest, precise and complete information to the survey.]","Gender ","Completed age","Your current address (district only)"," Education ","Your occupation.","How long have you been using mobile payment service of the Company?","Do you agree or disagree with the following statements. [Generally I've a positive view in technology.]","Do you agree or disagree with the following statements. [I'm a technology friendly.]","Do you agree or disagree with the following statements. [When using technology, I often feel overwhelmed.]","Do you agree or disagree with the following statements. [I don't trust technology]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Mobile payment services are Easy to use.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Requires fewer step to accomplish the transaction.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Easy and quick recovery from mistake.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease to integrate with bank accounts.]","Please check the box based on your experience on ease of using the mobile payment service of the company. [Ease of personal details verification.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Cost of using Mobile Payment services is reasonable.]","Please check the box based on your experience on value investment in mobile payment service of the company. [Feeling superiority of using services.]","Please check the box based on your experience on value investment in mobile payment service of the company. [The use of Mobile payment service is a good deal.]","Please check the box on your experience on customer support part. [Customer support in resolving your issues is good.]","Please check the box on your experience on customer support part. [Customer support team answer your inquiry promptly.]","Please check the box on your experience on customer support part. [Customer service agents are polite.]","Please check the box on your experience on customer support part. [Customer service opening hour is convenient.]","Please check the box on your experience on customer support part. [Customer service agents are friendly]","Please check the box on your experience on security part. [Wallet payment is fully secure.]","Please check the box on your experience on security part. [Confidence on transaction is high and identical to the cash transaction.]","Please check the box on your experience on security part. [Statement provided by the company is thorough and accurate.]","Please check the box on your experience on security part. [Mobile payment service is fully reliable.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a dynamic company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is a creative company.]","Please check the box based on your experience towards firm innovation. [F1 Soft is an innovative company.]","Please check the box based on your experience towards the speed. [Fund transfer time is very quick.]","Please check the box based on your experience towards the speed. [Initial log in period is much quicker.]","Please check the box based on your experience towards the speed. [Fund loading from the bank takes very low time. ]","How likely are you to  [Use mobile payment service with us again.]","How likely are you to  [Recommend our payment service to others.]","How likely are you to  [Recommend our company to others.]","How likely are you to  [Favour in the future.]","After the use of mobile payment services of F1 Soft  [I learned a lot from using mobile payment service of the F1 Soft.]","After the use of mobile payment services of F1 Soft  [Makes me feel good]","After the use of mobile payment services of F1 Soft  [Makes me feel enthusiastic.]","After the use of mobile payment services of F1 Soft  [I consider myself as a member of users of F1 Soft service.]","Use of mobile payment service of F1 Soft is fully satisfying.","On a scale of 1 to 100 please rate your overall level of satisfaction on using mobile payment service of the company."
"2022/05/06 2:20:56 PM GMT+5:45","agree","male","23","Bhaktapur","Bachelor","Student","13 months to 2 years","Neutral","Neutral","Neutral","Somewhat disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","60"
"2022/05/06 5:20:35 PM GMT+5:45","agree","male","19","Kathmandu","Bachelor","Student","Less than 3 months","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","99"
"2022/05/06 5:36:19 PM GMT+5:45","agree","male","25","Bhaktapur","Bachelor","Other","13 months to 2 years","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Unlikely","Unlikely","Unlikely","Unlikely","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","69"
"2022/05/06 7:23:30 PM GMT+5:45","agree","male","20","Bhaktapur","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Neutral","Likely","Very likely","Very likely","Somewhat likely","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","No","70"
"2022/05/06 9:07:22 PM GMT+5:45","agree","male","22","Kavrepalanchok","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Neutral","Strongly disagree","Agree","Agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Agree","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Likely","Likely","Somewhat likely","Likely","Neutral","Agree","Neutral","Agree","Yes","70"
"2022/05/07 12:43:42 AM GMT+5:45","agree","male","18","Rautahat","Bachelor","Student","13 months to 2 years","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","90"
"2022/05/07 8:12:46 AM GMT+5:45","agree","Female","18","Lalitpur","Bachelor","Student","Less than 3 months","Strongly agree","Neutral","Somewhat disagree","Strongly disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Disagree","Likely","Unlikely","Somewhat likely","Likely","Agree","Agree","Agree","Agree","Yes","70"
"2022/05/07 8:27:48 AM GMT+5:45","agree","Female","24","Baglung","Bachelor","Student","3 months to 6 months","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Agree","Agree","Agree","Agree","No","15"
"2022/05/07 8:37:35 AM GMT+5:45","agree","male","24","Kathmandu","Bachelor","Student","3 months to 6 months","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Likely","Likely","Likely","Somewhat likely","Agree","Neutral","Agree","Agree","Yes","75"
"2022/05/07 8:45:33 AM GMT+5:45","agree","male","19","Kathmandu","Bachelor","Student","Less than 3 months","Somewhat agree","Strongly agree","Somewhat agree","Neutral","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Somewhat likely","Likely","Somewhat likely","Very likely","Neutral","Agree","Agree","Neutral","Yes","96"
"2022/05/07 9:25:19 AM GMT+5:45","agree","male","25","Bhaktapur","Bachelor","Service","13 months to 2 years","Strongly agree","Neutral","Neutral","Somewhat disagree","Agree","Agree","Disagree","Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Likely","Somewhat likely","Somewhat likely","Somewhat likely","Agree","Agree","Neutral","Neutral","Yes","60"
"2022/05/07 12:56:00 PM GMT+5:45","agree","male","20","Kathmandu","Plus 2 / Intermediate","Student","7 months to 12 months","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","80"
"2022/05/07 3:52:29 PM GMT+5:45","agree","male","19","Bhaktapur","Bachelor","Student","2 years more","Somewhat agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","50"
"2022/05/07 9:20:26 PM GMT+5:45","agree","Female","28","Bhaktapur","Masters and above","Service","2 years more","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Very likely","Likely","Likely","Somewhat likely","Agree","Neutral","Neutral","Neutral","Yes","81"
"2022/05/07 10:29:22 PM GMT+5:45","agree","male","24","Kathmandu","Bachelor","Other","2 years more","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Very likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","90"
"2022/05/07 10:39:19 PM GMT+5:45","agree","male","25","Pyuthan","Masters and above","Student","2 years more","Somewhat agree","Somewhat agree","Neutral","Neutral","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Somewhat likely","Somewhat likely","Somewhat likely","Likely","Agree","Agree","Agree","Agree","Yes","75"
"2022/05/07 11:22:22 PM GMT+5:45","agree","male","26","Bhaktapur","Bachelor","Service","7 months to 12 months","Somewhat agree","Strongly agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Likely","Likely","Likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","50"
"2022/05/08 9:39:36 AM GMT+5:45","agree","male","19","Kathmandu","Bachelor","Student","7 months to 12 months","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Very likely","Likely","Likely","Likely","Neutral","Agree","Agree","Agree","Yes","70"
"2022/05/08 9:51:50 AM GMT+5:45","agree","male","18","Lalitpur","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Neutral","Somewhat agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Very likely","Very likely","Likely","Very likely","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Yes","90"
"2022/05/08 9:52:04 AM GMT+5:45","agree","male","22","Kapilvastu","Bachelor","Student","2 years more","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Agree","Neutral","Disagree","Somewhat likely","Somewhat likely","Somewhat likely","Likely","Agree","Strongly Agree","Agree","Neutral","Yes","87"
"2022/05/08 9:52:49 AM GMT+5:45","agree","male","20","Kathmandu","Bachelor","Student","7 months to 12 months","Neutral","Neutral","Neutral","Somewhat disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","1000000000000"
"2022/05/08 9:55:14 AM GMT+5:45","agree","Female","21","Dang","Plus 2 / Intermediate","Student","Less than 3 months","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","60"
"2022/05/08 9:57:20 AM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","2 years more","Neutral","Neutral","Neutral","Somewhat disagree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Strongly Disagree","Likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","60"
"2022/05/08 10:25:51 AM GMT+5:45","agree","male","19","Kathmandu","Bachelor","Student","7 months to 12 months","Strongly agree","Strongly agree","Neutral","Somewhat agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","75"
"2022/05/08 10:44:17 AM GMT+5:45","agree","Female","23","Kathmandu","Bachelor","Student","Less than 3 months","Neutral","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","50"
"2022/05/08 10:54:02 AM GMT+5:45","agree","male","25","Kathmandu","Masters and above","Student","2 years more","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Very likely","Likely","Likely","Somewhat likely","Agree","Agree","Agree","Strongly Agree","Yes","80"
"2022/05/08 10:54:16 AM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","3 months to 6 months","Somewhat agree","Strongly agree","Somewhat agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","8"
"2022/05/08 11:07:41 AM GMT+5:45","agree","male","24","Kathmandu","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Agree","Neutral","Neutral","Likely","Likely","Likely","Likely","Agree","Agree","Neutral","Neutral","Yes","85"
"2022/05/08 11:08:26 AM GMT+5:45","agree","Female","19","Jhapa","Bachelor","Student","Less than 3 months","Neutral","Neutral","Somewhat agree","Strongly disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Somewhat likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","85"
"2022/05/08 11:31:09 AM GMT+5:45","agree","Female","23","Kathmandu","Bachelor","Service","3 months to 6 months","Strongly agree","Somewhat agree","Neutral","Somewhat disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Very likely","Very likely","Likely","","Agree","Neutral","Neutral","Neutral","Yes","80"
"2022/05/08 11:31:52 AM GMT+5:45","agree","male","23","Kathmandu","Masters and above","Student","Less than 3 months","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Likely","Likely","Likely","Likely","Agree","Neutral","Neutral","Agree","Yes","78"
"2022/05/08 11:38:20 AM GMT+5:45","agree","male","25","Kathmandu","Bachelor","Service","13 months to 2 years","Strongly agree","Strongly agree","Neutral","Somewhat disagree","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Strongly Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Very likely","Very likely","Likely","Likely","Agree","Neutral","Neutral","Agree","Yes","92"
"2022/05/08 11:40:19 AM GMT+5:45","agree","male","23","Bhaktapur","Bachelor","Student","Less than 3 months","Strongly agree","Neutral","Somewhat disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Likely","Very likely","Likely","Very likely","Agree","Strongly Agree","Agree","Agree","Yes","60"
"2022/05/08 11:40:30 AM GMT+5:45","agree","male","27","Mahottari","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Very likely","Very likely","Likely","Likely","Neutral","Neutral","Neutral","Agree","Yes","91"
"2022/05/08 11:43:01 AM GMT+5:45","agree","male","26","Kathmandu","Bachelor","Student","13 months to 2 years","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Very likely","Very likely","Very likely","Very likely","Agree","Agree","Agree","Agree","Yes","92"
"2022/05/08 11:43:07 AM GMT+5:45","agree","male","29","Kathmandu","Bachelor","Service","2 years more","Strongly agree","Somewhat agree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Likely","Likely","Somewhat likely","Somewhat likely","Neutral","Agree","Neutral","Neutral","Yes","75"
"2022/05/08 11:50:58 AM GMT+5:45","agree","male","23","Kathmandu","Bachelor","Student","2 years more","Neutral","Neutral","Strongly disagree","Strongly agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Unlikely","Likely","Likely","Somewhat likely","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","No","66"
"2022/05/08 11:53:11 AM GMT+5:45","agree","Female","35","Kathmandu","Masters and above","Service","2 years more","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","                          50"
"2022/05/08 12:21:08 PM GMT+5:45","agree","male","22","Lalitpur","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Very likely","Very likely","Very likely","Very likely","Neutral","Agree","Agree","Neutral","Yes","65"
"2022/05/08 12:59:55 PM GMT+5:45","agree","male","25","Saptari","Bachelor","Student","2 years more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly Agree","Strongly Agree","Disagree","Neutral","Neutral","Disagree","Neutral","Strongly Agree","Disagree","Disagree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Likely","Very likely","Very likely","Very likely","Strongly Agree","Strongly Agree","Agree","Agree","Yes","95"
"2022/05/08 1:01:30 PM GMT+5:45","agree","male","35","Kathmandu","Bachelor","Other","3 months to 6 months","Strongly agree","Neutral","Somewhat disagree","Strongly disagree","Agree","Neutral","Agree","Disagree","Disagree","Disagree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Agree","Neutral","Neutral","Yes","85"
"2022/05/08 1:34:33 PM GMT+5:45","agree","male","26","Kathmandu","Bachelor","Service","13 months to 2 years","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Disagree","Agree","Very likely","Likely","Likely","Very likely","Strongly Agree","Agree","Agree","Agree","Yes","90"
"2022/05/08 2:31:29 PM GMT+5:45","agree","Female","23","Dolakha","Bachelor","Student","2 years more","Neutral","Strongly agree","Neutral","Somewhat agree","Agree","Agree","Disagree","Disagree","Agree","Neutral","Neutral","Agree","Neutral","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Somewhat likely","Likely","Very likely","Very likely","Agree","Agree","Neutral","Agree","No","66"
"2022/05/08 2:40:22 PM GMT+5:45","agree","Female","22","Bhaktapur","Bachelor","Student","Less than 3 months","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Yes","70"
"2022/05/08 3:36:18 PM GMT+5:45","agree","male","21","Kathmandu","Bachelor","Student","7 months to 12 months","Somewhat agree","Somewhat agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Strongly Disagree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Very likely","Somewhat likely","Somewhat likely","Somewhat likely","Agree","Disagree","Agree","Agree","Yes","77"
"2022/05/08 3:52:41 PM GMT+5:45","agree","male","19","Kanchanpur","Bachelor","Student","3 months to 6 months","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Very likely","Very likely","Somewhat likely","Very unlikely","Neutral","Disagree","Neutral","Strongly disagree","Yes","88"
"2022/05/08 3:58:09 PM GMT+5:45","agree","Female","20","Lalitpur","Bachelor","Student","13 months to 2 years","Somewhat agree","Strongly agree","Somewhat agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Likely","Likely","Likely","Somewhat likely","Agree","Agree","Agree","Agree","Yes","70"
"2022/05/08 5:06:04 PM GMT+5:45","agree","Female","21","Kathmandu","Bachelor","Student","Less than 3 months","Somewhat agree","Somewhat agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","Yes","55"
"2022/05/08 5:09:54 PM GMT+5:45","agree","male","20","Bhaktapur","Bachelor","Student","7 months to 12 months","Neutral","Neutral","Neutral","Strongly disagree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Disagree","Likely","Likely","Likely","Likely","Neutral","Neutral","Neutral","Neutral","Yes","50"
"2022/05/08 5:43:31 PM GMT+5:45","agree","male","24","Rautahat","Bachelor","Service","13 months to 2 years","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Agree","Neutral","Disagree","Agree","Agree","Disagree","Neutral","Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Somewhat likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","No","1.7"
"2022/05/08 6:11:23 PM GMT+5:45","agree","male","21","Kathmandu","Plus 2 / Intermediate","Student","2 years more","Somewhat agree","Somewhat agree","Neutral","Somewhat disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Somewhat likely","Somewhat likely","Somewhat likely","Somewhat likely","Neutral","Neutral","Neutral","Neutral","No","69"
